+2684530:  0
+0001506: 0201230003000300030003000300030003000300030003000300030003000300030003D1 24
+0001506: 0201490003000300030003000300030003000300030003000300030003000300030003D1 24
+0001506: 02017C0003000300030003000300030003000300030003000300030003000300030003D1 24
+0001508: 02019D0003000300030003000300030003000300030003000300030003000300030003D1 24
+0001506: 0201A80003000300030003000300030003000300030003000300030003000300030003D1 24
+0001506: 0201C20003000300030003000300030003000300030003000300030003000300030003D1 24
+0001507: 0201F70003000300030003000300030003000300030003000300030003000300030003D1 24
+0001716: 0100000000 8
+0001680: 020035FFFFFFFFE2719A3A4C8FFD3F00000000608FFD3FFFFFFFFF608F013F861179E1A1 24
+0001518: 02030F000000000000000000000000000000000000000000000000000000000000000000 24
+0001668: 0100000000 0
+0001677: 020035FFFFFFFFE2719A3A4C8FFD3F00000000608FFD3FFFFFFFFF608F013F861179E1A1 24
+0001510: 02033A000000000000000000000000000000000000000000000000000000000000000000 24
+0001666: 0100000000 0
+0001680: 020035FFFFFFFFE2719A3A4C8FFD3F00000000608FFD3FFFFFFFFF608F013F861179E1A1 24
+0001515: 020350000000000000000000000000000000000000000000000000000000000000000000 24
+0001666: 0100000000 8
+0001676: 020035FFFFFFFFE2719A3A4C8FFD3F00000000608FFD3FFFFFFFFF608F013F861179E1A1 24
+0001511: 020365000000000000000000000000000000000000000000000000000000000000000000 24
+0001836: 0100000000 8
+0001687: 020035FFFFFFFFE2719A3A4C8FFD3F00000000608FFD3FFFFFFFFF608F013F861179E1A1 24
+0001515: 020384000000000000000000000000000000000000000000000000000000000000000000 24
+0001666: 0100000000 8
+0001676: 020035FFFFFFFFE2719A3A4C8FFD3F00000000608FFD3FFFFFFFFF608F013F861179E1A1 24
+0001516: 0203B1000000000000000000000000000000000000000000000000000000000000000000 24
+0001665: 0100000000 0
+0001678: 020035FFFFFFFFE2719A3A4C8FFD3F00000000608F
+0053261: 0100000000 0
+0033434: 0100000000 0
+0033429: 0100000000 8
+0033437: 0100000000 0
+0033423: 0100000000 0
+0033420: 0100000000 0
+0033436: 0100000000 8
+0033432: 0100000000 0
+0033430: 0100000000 8
+0033427: 0100000000 0
+0033431: 0100000000 0
+0001091: 0100000000 8
+0032331: 0100000000 0
+0033434: 0100000000 8
+0033431: 0100000000 0
+0033429: 0100000000 0
+0033426: 0100000000 0
+0033431: 0100000000 0
+0033424: 0100000000 0
+0033433: 0100000000 8
+0033431: 0100000000 8
+0033434: 0100000000 0
+0033425: 0100000000 0
+0033429: 0100000000 0
+0033436: 0100000000 0
+0033417: 0100000000 8
+0033437: 0100000000 0
+0033436: 0100000000 0
+0033423: 0100000000 0
+0033429: 0100000000 0
+0033435: 0100000000 0
+0033418: 0100000000 8
+0033438: 0100000000 0
+0033433: 0100000000 0
+0033425: 0100000000 0
+0033431: 0100000000 8
+0033431: 0100000000 8
+0033420: 0100000000 8
+0033437: 0100000000 8
+0033434: 0100000000 8
+0033425: 0100000000 8
+0033430: 0100000000 0
+0033431: 0100000000 8
+0033422: 0100000000 0
+0033435: 0100000000 0
+0033432: 0100000000 0
+0033429: 0100000000 8
+0033428: 0100000000 0
+0033432: 0100000000 0
+0033429: 0100000000 0
+0001089: 0100000000 0
+0032331: 0100000000 8
+0033439: 0100000000 0
+0033430: 0100000000 8
+0033428: 0100000000 0
+0033431: 0100000000 0
+0033430: 0100000000 0
+0033417: 0100000000 8
+0033441: 0100000000 0
+0033428: 0100000000 8
+0033429: 0100000000 0
+0033469: 0100000000 0
+0033392: 0100000000 0
+0033419: 0100000000 8
+0033440: 0100000000 0
+0033429: 0100000000 0
+0033428: 0100000000 0
+0033431: 0100000000 0
+0033427: 0100000000 0
